// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 11 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:00 (0.01 sec)   *****
// Found 11 benchmarks:
//   UUID7ImplementationBenchmarks.NewGuid: MediumRun(Toolchain=InProcessNoEmitToolchain, IterationCount=15, LaunchCount=2, WarmupCount=10)
//   UUID7ImplementationBenchmarks.CtorGuid: MediumRun(Toolchain=InProcessNoEmitToolchain, IterationCount=15, LaunchCount=2, WarmupCount=10)
//   UUID7ImplementationBenchmarks.NewUuid_Medo: MediumRun(Toolchain=InProcessNoEmitToolchain, IterationCount=15, LaunchCount=2, WarmupCount=10)
//   UUID7ImplementationBenchmarks.CtorUuid_Medo: MediumRun(Toolchain=InProcessNoEmitToolchain, IterationCount=15, LaunchCount=2, WarmupCount=10)
//   UUID7ImplementationBenchmarks.UUIDNext_Uuid: MediumRun(Toolchain=InProcessNoEmitToolchain, IterationCount=15, LaunchCount=2, WarmupCount=10)
//   UUID7ImplementationBenchmarks.UUIDNext_NewSequential: MediumRun(Toolchain=InProcessNoEmitToolchain, IterationCount=15, LaunchCount=2, WarmupCount=10)
//   UUID7ImplementationBenchmarks.UUIDExtension: MediumRun(Toolchain=InProcessNoEmitToolchain, IterationCount=15, LaunchCount=2, WarmupCount=10)
//   UUID7ImplementationBenchmarks.DariosImplementation: MediumRun(Toolchain=InProcessNoEmitToolchain, IterationCount=15, LaunchCount=2, WarmupCount=10)
//   UUID7ImplementationBenchmarks.NewId_Ctor: MediumRun(Toolchain=InProcessNoEmitToolchain, IterationCount=15, LaunchCount=2, WarmupCount=10)
//   UUID7ImplementationBenchmarks.NewStatic_NewId: MediumRun(Toolchain=InProcessNoEmitToolchain, IterationCount=15, LaunchCount=2, WarmupCount=10)
//   UUID7ImplementationBenchmarks.NewUniqueId: MediumRun(Toolchain=InProcessNoEmitToolchain, IterationCount=15, LaunchCount=2, WarmupCount=10)

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// **************************
// Benchmark: UUID7ImplementationBenchmarks.NewGuid: MediumRun(Toolchain=InProcessNoEmitToolchain, IterationCount=15, LaunchCount=2, WarmupCount=10)
// *** Execute ***
// Launch: 1 / 2

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.13.10
// Runtime=.NET 8.0.0 (8.0.23.53103), X64 RyuJIT AVX2
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT VectorSize=256
// Job: MediumRun(Toolchain=InProcessNoEmitToolchain, IterationCount=15, LaunchCount=2, WarmupCount=10)

OverheadJitting  1: 1 op, 114300.00 ns, 114.3000 us/op
WorkloadJitting  1: 1 op, 133700.00 ns, 133.7000 us/op

OverheadJitting  2: 16 op, 90400.00 ns, 5.6500 us/op
WorkloadJitting  2: 16 op, 99800.00 ns, 6.2375 us/op

WorkloadPilot    1: 16 op, 5400.00 ns, 337.5000 ns/op
WorkloadPilot    2: 32 op, 3800.00 ns, 118.7500 ns/op
WorkloadPilot    3: 64 op, 5100.00 ns, 79.6875 ns/op
WorkloadPilot    4: 128 op, 7800.00 ns, 60.9375 ns/op
WorkloadPilot    5: 256 op, 14200.00 ns, 55.4688 ns/op
WorkloadPilot    6: 512 op, 26000.00 ns, 50.7812 ns/op
WorkloadPilot    7: 1024 op, 50400.00 ns, 49.2188 ns/op
WorkloadPilot    8: 2048 op, 100800.00 ns, 49.2188 ns/op
WorkloadPilot    9: 4096 op, 198100.00 ns, 48.3643 ns/op
WorkloadPilot   10: 8192 op, 394700.00 ns, 48.1812 ns/op
WorkloadPilot   11: 16384 op, 787900.00 ns, 48.0896 ns/op
WorkloadPilot   12: 32768 op, 1601800.00 ns, 48.8831 ns/op
WorkloadPilot   13: 65536 op, 3214100.00 ns, 49.0433 ns/op
WorkloadPilot   14: 131072 op, 6139200.00 ns, 46.8384 ns/op
WorkloadPilot   15: 262144 op, 12565800.00 ns, 47.9347 ns/op
WorkloadPilot   16: 524288 op, 26352500.00 ns, 50.2634 ns/op
WorkloadPilot   17: 1048576 op, 52883900.00 ns, 50.4340 ns/op
WorkloadPilot   18: 2097152 op, 106808600.00 ns, 50.9303 ns/op
WorkloadPilot   19: 4194304 op, 205751100.00 ns, 49.0549 ns/op
WorkloadPilot   20: 8388608 op, 409759100.00 ns, 48.8471 ns/op
WorkloadPilot   21: 16777216 op, 822232800.00 ns, 49.0089 ns/op

OverheadWarmup   1: 16777216 op, 45316000.00 ns, 2.7010 ns/op
OverheadWarmup   2: 16777216 op, 47780600.00 ns, 2.8479 ns/op
OverheadWarmup   3: 16777216 op, 48768400.00 ns, 2.9068 ns/op
OverheadWarmup   4: 16777216 op, 46262600.00 ns, 2.7575 ns/op
OverheadWarmup   5: 16777216 op, 47866800.00 ns, 2.8531 ns/op
OverheadWarmup   6: 16777216 op, 48169200.00 ns, 2.8711 ns/op
OverheadWarmup   7: 16777216 op, 43774400.00 ns, 2.6092 ns/op

OverheadActual   1: 16777216 op, 33321700.00 ns, 1.9861 ns/op
OverheadActual   2: 16777216 op, 34054900.00 ns, 2.0298 ns/op
OverheadActual   3: 16777216 op, 35750600.00 ns, 2.1309 ns/op
OverheadActual   4: 16777216 op, 35858000.00 ns, 2.1373 ns/op
OverheadActual   5: 16777216 op, 38311700.00 ns, 2.2836 ns/op
OverheadActual   6: 16777216 op, 38355900.00 ns, 2.2862 ns/op
OverheadActual   7: 16777216 op, 35127400.00 ns, 2.0938 ns/op
OverheadActual   8: 16777216 op, 34770400.00 ns, 2.0725 ns/op
OverheadActual   9: 16777216 op, 37019300.00 ns, 2.2065 ns/op
OverheadActual  10: 16777216 op, 37126300.00 ns, 2.2129 ns/op
OverheadActual  11: 16777216 op, 37255400.00 ns, 2.2206 ns/op
OverheadActual  12: 16777216 op, 36549100.00 ns, 2.1785 ns/op
OverheadActual  13: 16777216 op, 37088800.00 ns, 2.2107 ns/op
OverheadActual  14: 16777216 op, 36414500.00 ns, 2.1705 ns/op
OverheadActual  15: 16777216 op, 37212400.00 ns, 2.2180 ns/op

WorkloadWarmup   1: 16777216 op, 841856500.00 ns, 50.1786 ns/op
WorkloadWarmup   2: 16777216 op, 826237000.00 ns, 49.2476 ns/op
WorkloadWarmup   3: 16777216 op, 837911900.00 ns, 49.9434 ns/op
WorkloadWarmup   4: 16777216 op, 831784500.00 ns, 49.5782 ns/op
WorkloadWarmup   5: 16777216 op, 854180900.00 ns, 50.9131 ns/op
WorkloadWarmup   6: 16777216 op, 831431600.00 ns, 49.5572 ns/op
WorkloadWarmup   7: 16777216 op, 813192200.00 ns, 48.4700 ns/op
WorkloadWarmup   8: 16777216 op, 818902600.00 ns, 48.8104 ns/op
WorkloadWarmup   9: 16777216 op, 818991200.00 ns, 48.8157 ns/op
WorkloadWarmup  10: 16777216 op, 809205700.00 ns, 48.2324 ns/op

WorkloadActual   1: 16777216 op, 817248400.00 ns, 48.7118 ns/op
WorkloadActual   2: 16777216 op, 810846100.00 ns, 48.3302 ns/op
WorkloadActual   3: 16777216 op, 821641100.00 ns, 48.9736 ns/op
WorkloadActual   4: 16777216 op, 819175000.00 ns, 48.8266 ns/op
WorkloadActual   5: 16777216 op, 818731700.00 ns, 48.8002 ns/op
WorkloadActual   6: 16777216 op, 848010900.00 ns, 50.5454 ns/op
WorkloadActual   7: 16777216 op, 840912800.00 ns, 50.1223 ns/op
WorkloadActual   8: 16777216 op, 823197800.00 ns, 49.0664 ns/op
WorkloadActual   9: 16777216 op, 846671900.00 ns, 50.4656 ns/op
WorkloadActual  10: 16777216 op, 821773000.00 ns, 48.9815 ns/op
WorkloadActual  11: 16777216 op, 837587400.00 ns, 49.9241 ns/op
WorkloadActual  12: 16777216 op, 831178800.00 ns, 49.5421 ns/op
WorkloadActual  13: 16777216 op, 817775800.00 ns, 48.7432 ns/op
WorkloadActual  14: 16777216 op, 828665700.00 ns, 49.3923 ns/op
WorkloadActual  15: 16777216 op, 809952300.00 ns, 48.2769 ns/op

WorkloadResult   1: 16777216 op, 780699300.00 ns, 46.5333 ns/op
WorkloadResult   2: 16777216 op, 774297000.00 ns, 46.1517 ns/op
WorkloadResult   3: 16777216 op, 785092000.00 ns, 46.7951 ns/op
WorkloadResult   4: 16777216 op, 782625900.00 ns, 46.6481 ns/op
WorkloadResult   5: 16777216 op, 782182600.00 ns, 46.6217 ns/op
WorkloadResult   6: 16777216 op, 811461800.00 ns, 48.3669 ns/op
WorkloadResult   7: 16777216 op, 804363700.00 ns, 47.9438 ns/op
WorkloadResult   8: 16777216 op, 786648700.00 ns, 46.8879 ns/op
WorkloadResult   9: 16777216 op, 810122800.00 ns, 48.2871 ns/op
WorkloadResult  10: 16777216 op, 785223900.00 ns, 46.8030 ns/op
WorkloadResult  11: 16777216 op, 801038300.00 ns, 47.7456 ns/op
WorkloadResult  12: 16777216 op, 794629700.00 ns, 47.3636 ns/op
WorkloadResult  13: 16777216 op, 781226700.00 ns, 46.5647 ns/op
WorkloadResult  14: 16777216 op, 792116600.00 ns, 47.2138 ns/op
WorkloadResult  15: 16777216 op, 773403200.00 ns, 46.0984 ns/op
// GC:  0 0 0 688 16777216
// Threading:  0 0 16777216

// Launch: 2 / 2

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.13.10
// Runtime=.NET 8.0.0 (8.0.23.53103), X64 RyuJIT AVX2
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT VectorSize=256
// Job: MediumRun(Toolchain=InProcessNoEmitToolchain, IterationCount=15, LaunchCount=2, WarmupCount=10)

OverheadJitting  1: 1 op, 800.00 ns, 800.0000 ns/op
WorkloadJitting  1: 1 op, 2300.00 ns, 2.3000 us/op

OverheadJitting  2: 16 op, 500.00 ns, 31.2500 ns/op
WorkloadJitting  2: 16 op, 2600.00 ns, 162.5000 ns/op

WorkloadPilot    1: 16 op, 2200.00 ns, 137.5000 ns/op
WorkloadPilot    2: 32 op, 2700.00 ns, 84.3750 ns/op
WorkloadPilot    3: 64 op, 3800.00 ns, 59.3750 ns/op
WorkloadPilot    4: 128 op, 6300.00 ns, 49.2188 ns/op
WorkloadPilot    5: 256 op, 12000.00 ns, 46.8750 ns/op
WorkloadPilot    6: 512 op, 26100.00 ns, 50.9766 ns/op
WorkloadPilot    7: 1024 op, 45300.00 ns, 44.2383 ns/op
WorkloadPilot    8: 2048 op, 88700.00 ns, 43.3105 ns/op
WorkloadPilot    9: 4096 op, 174500.00 ns, 42.6025 ns/op
WorkloadPilot   10: 8192 op, 345000.00 ns, 42.1143 ns/op
WorkloadPilot   11: 16384 op, 687100.00 ns, 41.9373 ns/op
WorkloadPilot   12: 32768 op, 1429400.00 ns, 43.6218 ns/op
WorkloadPilot   13: 65536 op, 2969800.00 ns, 45.3156 ns/op
WorkloadPilot   14: 131072 op, 6089400.00 ns, 46.4584 ns/op
WorkloadPilot   15: 262144 op, 11396800.00 ns, 43.4753 ns/op
WorkloadPilot   16: 524288 op, 23654200.00 ns, 45.1168 ns/op
WorkloadPilot   17: 1048576 op, 50282800.00 ns, 47.9534 ns/op
WorkloadPilot   18: 2097152 op, 101337000.00 ns, 48.3212 ns/op
WorkloadPilot   19: 4194304 op, 205700700.00 ns, 49.0429 ns/op
WorkloadPilot   20: 8388608 op, 418359500.00 ns, 49.8723 ns/op
WorkloadPilot   21: 16777216 op, 837382000.00 ns, 49.9119 ns/op

OverheadWarmup   1: 16777216 op, 33016800.00 ns, 1.9680 ns/op
OverheadWarmup   2: 16777216 op, 34714800.00 ns, 2.0692 ns/op
OverheadWarmup   3: 16777216 op, 35984400.00 ns, 2.1448 ns/op
OverheadWarmup   4: 16777216 op, 35882300.00 ns, 2.1388 ns/op
OverheadWarmup   5: 16777216 op, 36324700.00 ns, 2.1651 ns/op
OverheadWarmup   6: 16777216 op, 33357500.00 ns, 1.9883 ns/op

OverheadActual   1: 16777216 op, 33767800.00 ns, 2.0127 ns/op
OverheadActual   2: 16777216 op, 35839100.00 ns, 2.1362 ns/op
OverheadActual   3: 16777216 op, 33241800.00 ns, 1.9814 ns/op
OverheadActual   4: 16777216 op, 33978000.00 ns, 2.0252 ns/op
OverheadActual   5: 16777216 op, 36199500.00 ns, 2.1577 ns/op
